Data Source	World Development Indicators					
Last Updated Date	1/3/2017					
						
DEU	Germany	992116.3026	950463.4086	948006.7542	929540.2634	951716.7111
GHA	Ghana	124072.65	104912.6355	106432.6926	107126.2155	107784.2944
GIB	Gibraltar	417.566705	417.9162765	443.4821657	459.115655	473.0057293
GRC	Greece	117310.663	113365.7988	107505.9791	105013.9336	100571.1707
GRL	Greenland	251.9861	254.7051586	257.5715316	260.2126843	262.8436498
GRD	Grenada	643.730012	645.0806836	682.6576921	705.6846855	726.1854197
GUM	Guam	80.2123132	81.4806287	83.62124564	84.76965344	85.8694585
GTM	Guatemala	32857.908	37118.66433	30327.54698	30950.25374	31515.45018
GIN	Guinea	135227.869	160212.122	100274.0399	100814.3921	101348.9883
GNB	Guinea-Bissau	5808.0868	5046.757568	7536.357813	7571.176845	7604.734497
GUY	Guyana	5112.8356	25763.69319	5937.294211	6042.578494	6140.687252
HTI	Haiti	8462.3932	8453.147761	8545.167808	8695.42578	8835.466908
HND	Honduras	19785.857	19877.55577	19663.71562	20084.13622	20467.16299
HKG	"Hong Kong SAR, China"	51945.7835	52038.72872	55049.40297	56946.38786	58633.51677
HUN	Hungary	71578.8505	65812.1371	66250.7743	64385.00405	62988.3998
ISL	Iceland	5043.3159	5144.288711	5390.984736	5530.257435	5514.853992
IND	India	2438714.28	2594639.917	2771456.756	2828845.829	3002894.928
IDN	Indonesia	796581.92	1148285.679	744790.0241	763553.1649	780550.764
IRN	"Iran, Islamic Rep."	511994.769	522841.1671	529830.3486	545075.0149	551144.1324
IRQ	Iraq	137871.117	138423.7691	146903.7332	151457.0601	155529.505
IRL	Ireland	70132.71958	65613.07057	65591.24598	61268.10237	62433.01389
ISR	Israel	75238.54546	75026.03528	79072.43566	81703.91311	84044.43441
ITA	Italy	529283.803	480698.2231	489460.1327	482619.0375	482634.0003
JAM	Jamaica	13912.5571	13884.09722	14581.6781	15053.50546	15474.32041
JPN	Japan	1385164.839	1290243.648	1350427.913	1396767.261	1478858.881
JOR	Jordan	24469.11527	24315.64734	25590.04964	26440.77353	27198.59451
KAZ	Kazakhstan	330512.052	287801.126	347356.0816	350475.7349	366502.1973
KEN	Kenya	53277.032	52547.68004	52675.10235	53513.99238	54302.09561
KIR	Kiribati	52.441724	52.69911695	55.21971392	56.69981324	58.03545623
PRK	"Korea, Dem. People?s Rep."	99381.168	99920.37888	104116.6043	107165.3189	109894.965
KOR	"Korea, Rep."	594982.1988	594493.2022	628838.7211	650085.5349	668989.6514
KWT	Kuwait	89301.4427	88824.88178	93785.56855	96788.19422	99467.1164
KGZ	Kyrgyz Republic	11873.2617	13218.81078	13008.5431	13853.67452	13794.74124
LAO	Lao PDR	21335.613	24469.63793	38034.96363	161456.9827	161718.7374
LVA	Latvia	14204.6668	13580.3226	14670.0039	14150.09531	13943.92172
LBN	Lebanon	18270.36045	18132.63231	19139.27008	19791.49588	20371.97335
LSO	Lesotho	2543.498	2727.980134	3425.278898	3449.405651	3472.707536
LBR	Liberia	2863.1407	2599.798462	2758.546871	2797.370822	2833.942779
LBY	Libya	74238.8201	73995.41591	77780.08973	80072.8192	82129.13395
LTU	Lithuania	26732.648	24473.52047	26786.483	29324.68967	29442.21235
LUX	Luxembourg	12702.3411	12343.3163	13034.81576	12929.54082	12610.99762
